imagePath,label
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_11730.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_9537.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_7102.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_16724.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_12578.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_7489.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_12746.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_11782.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_11020.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_7282.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_17838.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_7386.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_17209.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_16817.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_7710.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_15554.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_11752.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_17022.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_11174.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_9996.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_16787.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_12480.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_17523.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_11966.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_16426.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_10993.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_13909.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_17220.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_11261.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_15767.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_7702.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_12117.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_16261.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_11987.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_7726.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_8686.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_16575.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_9121.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_7686.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_9599.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_15413.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_18454.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_7407.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_9709.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_16265.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_9849.png,1
rawImgs_200/vid3/Smoke/ROI_HT_vid_3_frame_9246.png,1
